Subscription ID,Duration,Type
3159,2557 days 00:00:00.000000000,Monthly
3160,2038 days 00:00:00.000000000,Monthly
3164,0 days 00:00:00.000000000,One Off
3165,30 days 00:00:00.000000000,Daily
3168,0 days 00:00:00.000000000,One Off
3170,1034 days 00:00:00.000000000,Monthly
3172,0 days 00:00:00.000000000,One Off
3178,0 days 00:00:00.000000000,One Off
3180,12054 days 00:00:00.000000000,Yearly
3181,1248 days 00:00:00.000000000,Monthly
3182,396 days 00:00:00.000000000,Monthly
3184,24 days 00:00:00.000000000,Daily
3186,0 days 00:00:00.000000000,One Off
3190,1127 days 00:00:00.000000000,Monthly
3192,2040 days 00:00:00.000000000,Monthly
3195,14610 days 00:00:00.000000000,Yearly
3196,1735 days 00:00:00.000000000,Monthly
3200,6 days 00:00:00.000000000,Daily
3201,48 days 00:00:00.000000000,Daily
3203,8035 days 00:00:00.000000000,Yearly
3204,6209 days 00:00:00.000000000,Yearly
3207,20 days 00:00:00.000000000,Daily
3208,2648 days 00:00:00.000000000,Monthly
3211,35 days 00:00:00.000000000,Daily
3217,2403 days 00:00:00.000000000,Monthly
3218,14245 days 00:00:00.000000000,Yearly
3224,9496 days 00:00:00.000000000,Yearly
3228,6574 days 00:00:00.000000000,Yearly
3229,1157 days 00:00:00.000000000,Monthly
3230,4017 days 00:00:00.000000000,Yearly
3231,0 days 00:00:00.000000000,One Off
3233,52 days 00:00:00.000000000,Daily
3234,0 days 00:00:00.000000000,One Off
3236,52 days 00:00:00.000000000,Daily
3237,303 days 00:00:00.000000000,Monthly
3239,8400 days 00:00:00.000000000,Yearly
3240,10592 days 00:00:00.000000000,Yearly
3241,1614 days 00:00:00.000000000,Monthly
3246,548 days 00:00:00.000000000,Monthly
3247,5479 days 00:00:00.000000000,Yearly
3250,1096 days 00:00:00.000000000,Yearly
3251,0 days 00:00:00.000000000,One Off
3255,0 days 00:00:00.000000000,One Off
3256,11322 days 00:00:00.000000000,Yearly
3260,366 days 00:00:00.000000000,Monthly
3261,2526 days 00:00:00.000000000,Monthly
3264,2160 days 00:00:00.000000000,Monthly
3267,9131 days 00:00:00.000000000,Yearly
3268,853 days 00:00:00.000000000,Monthly
3269,0 days 00:00:00.000000000,One Off
3272,6940 days 00:00:00.000000000,Yearly
3274,8401 days 00:00:00.000000000,Yearly
3275,3287 days 00:00:00.000000000,Yearly
3281,12 days 00:00:00.000000000,Daily
3286,1280 days 00:00:00.000000000,Monthly
3287,1461 days 00:00:00.000000000,Yearly
3294,6209 days 00:00:00.000000000,Yearly
3296,5114 days 00:00:00.000000000,Yearly
3299,1553 days 00:00:00.000000000,Monthly
3303,45 days 00:00:00.000000000,Daily
3304,1372 days 00:00:00.000000000,Monthly
3306,0 days 00:00:00.000000000,One Off
3309,1826 days 00:00:00.000000000,Yearly
3310,1431 days 00:00:00.000000000,Monthly
3314,731 days 00:00:00.000000000,Monthly
3315,731 days 00:00:00.000000000,Monthly
3317,2041 days 00:00:00.000000000,Monthly
3324,1673 days 00:00:00.000000000,Monthly
3327,608 days 00:00:00.000000000,Monthly
3329,395 days 00:00:00.000000000,Monthly
3330,0 days 00:00:00.000000000,One Off
3332,0 days 00:00:00.000000000,One Off
3334,639 days 00:00:00.000000000,Monthly
3342,12053 days 00:00:00.000000000,Yearly
3343,7305 days 00:00:00.000000000,Yearly
3346,4018 days 00:00:00.000000000,Yearly
3347,2465 days 00:00:00.000000000,Monthly
3348,2102 days 00:00:00.000000000,Monthly
3349,6574 days 00:00:00.000000000,Yearly
3350,3653 days 00:00:00.000000000,Yearly
3353,10 days 00:00:00.000000000,Daily
3357,1491 days 00:00:00.000000000,Monthly
3359,7670 days 00:00:00.000000000,Yearly
3360,47 days 00:00:00.000000000,Daily
3366,669 days 00:00:00.000000000,Monthly
3367,1127 days 00:00:00.000000000,Monthly
3369,43 days 00:00:00.000000000,Daily
3370,2222 days 00:00:00.000000000,Monthly
3371,303 days 00:00:00.000000000,Monthly
3373,6940 days 00:00:00.000000000,Yearly
3374,730 days 00:00:00.000000000,Monthly
3377,16801 days 00:00:00.000000000,Yearly
3378,55 days 00:00:00.000000000,Daily
3380,5 days 00:00:00.000000000,Daily
3381,3653 days 00:00:00.000000000,Yearly
3382,34 days 00:00:00.000000000,Daily
3383,4383 days 00:00:00.000000000,Yearly
3384,0 days 00:00:00.000000000,One Off
3385,6574 days 00:00:00.000000000,Yearly
3389,1826 days 00:00:00.000000000,Yearly
3390,1735 days 00:00:00.000000000,Monthly
3393,13 days 00:00:00.000000000,Daily
3394,2587 days 00:00:00.000000000,Monthly
3395,0 days 00:00:00.000000000,One Off
3397,8766 days 00:00:00.000000000,Yearly
3400,274 days 00:00:00.000000000,Monthly
3406,53 days 00:00:00.000000000,Daily
3407,2374 days 00:00:00.000000000,Monthly
3410,3287 days 00:00:00.000000000,Yearly
3412,50 days 00:00:00.000000000,Daily
3414,44 days 00:00:00.000000000,Daily
3416,3652 days 00:00:00.000000000,Yearly
3418,1341 days 00:00:00.000000000,Monthly
3420,38 days 00:00:00.000000000,Daily
3421,10593 days 00:00:00.000000000,Yearly
3425,48 days 00:00:00.000000000,Daily
3428,121 days 00:00:00.000000000,Daily
3430,730 days 00:00:00.000000000,Monthly
3433,882 days 00:00:00.000000000,Monthly
3434,40 days 00:00:00.000000000,Daily
3441,2557 days 00:00:00.000000000,Yearly
3443,8766 days 00:00:00.000000000,Yearly
3444,0 days 00:00:00.000000000,One Off
3445,0 days 00:00:00.000000000,One Off
